Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State 2me
4,Outdoor,2,4,1,-1,-1,2
4,Outdoor,2,4,1,-1,-1,2
3,Indoor,1,3,1,28.00761664,73.31655241,2
3,Indoor,1,5,1,22.5906381,88.2931817,2
2,Indoor,1,1,2,-1,-1,2
2,Indoor,1,2,3,12.9950928,77.666498,2
3,Travelling,1,5,1,22.42235967,71.19891539,2
1,Indoor,2,5,1,28.6258005,77.4350108,2
2,Indoor,1,1,2,-1,-1,2
3,Indoor,1,1,2,22.12601664,78.13919529,2
3,Outdoor,1,1,2,12.11938,76.68076,Kar2taka
3,Travelling,1,4,1,12.323904,76.69461,Kar2taka
5,Indoor,2,4,1,18.52603385,73.86649758,2
2,Indoor,1,4,1,17.31693849,78.53912352,2
1,Indoor,2,3,2,23.0670505,87.989732,2
3,Outdoor,2,1,2,28.637014,77.2164,2
5,Indoor,2,1,2,12.8760985,77.6498539,2
3,Indoor,1,5,1,22.12601664,78.13919529,2
3,Indoor,1,1,3,19.08572757,72.90778135,2
3,Outdoor,1,5,1,28.5564068,77.1726443,2
3,Travelling,1,5,1,17.345097,77.9088,Telanga2
2,Indoor,1,2,2,28.6692241,77.2845985,2
1,Indoor,1,5,1,-1,-1,2
1,Indoor,2,4,1,21.92000009,82.77999876,2
1,Indoor,2,4,1,23.01776534,72.50454647,2
2,Outdoor,1,1,2,29.0006698,79.3994695,2
2,Indoor,1,2,2,-1,-1,2
2,Indoor,1,2,2,-1,-1,2
3,Indoor,1,1,3,12.9967481,77.6883416,2
3,Indoor,1,1,3,30.0027189,76.8894945,2
3,Outdoor,1,1,3,30.0347173,76.9551697,2
3,Indoor,1,1,3,30.0347173,76.9551697,2
3,Outdoor,1,1,3,30.065847,76.9763807,2
2,Outdoor,2,5,1,-1,-1,2
2,Indoor,2,1,2,-1,-1,2
2,Indoor,2,5,1,-1,-1,2
1,Travelling,1,4,1,28.64054792,77.22936806,2
3,Outdoor,1,1,3,30.040981,76.9574591,2
3,Indoor,1,4,1,12.9967481,77.6883416,2
1,Indoor,2,1,2,-1,-1,2
5,Indoor,2,3,2,12.8760985,77.6498539,2
2,Indoor,2,3,1,29.40265613,79.30361793,2
3,Travelling,1,5,1,25.62776373,85.11227725,2
3,Travelling,1,4,1,26.8899741,79.13007548,2
3,Travelling,1,4,1,26.88970213,79.13011105,2
2,Outdoor,1,3,1,-1,-1,2
3,Indoor,1,1,3,30.040981,76.9574591,2
