test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address,km_between
126554517,"34C5AC50656C4626B33785FADF8985AD","2019-09-01 00:06:47","2019-09-01 00:07:24","4370345","5","85.76.xxx.xxx",18521,3879,19,"Salo","Finland","FI",60.3900,23.1172,"Lounea","Elisa Oyj","1","22","2","Finland","FI","Pirkanmaa","11","Tampere",61.500,23.750,79.6665,"Tampere, Finland","Tampere","locality","Finland","FI","Pirkanmaa","Tampere","","33100","",128.068
126554518,"AB4976D049E7495BB34BF6D227AE75DF","2019-09-01 00:07:24","2019-09-01 00:07:24","481277","4","87.7.xxx.xxx",12847,901,25,"Ancona","Italy","IT",43.6169,13.5167,"FASTnet S.p.A.","Telecom Italia Mobile","1","22","1","Italy","IT","Marche","57","Sant'Elpidio a Mare",43.233,13.683,27.8225,"Sant'Elpidio a Mare FM, Italy","Sant'Elpidio a Mare","locality","Italy","IT","Marche","Province of Fermo","Sant'Elpidio a Mare","63811","",44.7262
126554519,"0B9E748B6B264EB0AED29561A0445F57","2019-09-01 00:06:50","2019-09-01 00:07:24","8426587","5","101.164.xxx.xxx",18181,4934,10,"Chatswood","Australia","AU",-33.8008,151.1796,"Telstra","Telstra Internet","1","22","2","Australia","AU","New South Wales","NSW","Beacon Hill",-33.752,151.258,5.62669,"Beacon Hill NSW 2100, Australia","Beacon Hill","locality","Australia","AU","New South Wales","Warringah Council","","2100","",9.04521
126554520,"179527751D7A47088B86EC0B68938663","2019-09-01 00:07:24","2019-09-01 00:07:24","3545084","4","108.252.xxx.xxx",30672,9862,20,"Marietta, GA","United States","US",33.9526,-84.5499,"NationalNet","AT&T U-verse","1","22","2","United States","US","Georgia","GA","Kennesaw",34.010,-84.624,5.83529,"Cobb County, GA, USA","Cobb County","administrative_area_level_2","United States","US","Georgia","Cobb County","","30152","",9.38053
126554521,"1AA5351B03774B6AB3211BEE6537A94B","2019-09-01 00:05:41","2019-09-01 00:07:24","2176667","5","42.94.xxx.xxx",229280,29038,28,"Lanzhou","China","CN",36.0333,103.8000,"China Unicom Lanzhou Branch Co.Ltd","China Telecom Gansu","1","22","1","China","CN","Gansu","GS","Lanzhou",36.056,103.792,1.65651,"Lanzhou, Gansu, China","Lanzhou","locality","China","CN","Gansu","","","","",2.66292
126554522,"BFC8C80517E1493A805D2CDCECC8875D","2019-09-01 00:06:48","2019-09-01 00:07:24","2213650","5","109.173.xxx.xxx",68457,66605,2,"Poznan","Poland","PL",52.2400,16.9167,"Orange Polska S.A.","INEA S.A.","1","2","2","Poland","PL","Greater Poland Voivodeship","WP","Lubon",52.347,16.892,7.47044,"62, Poland","Luboń","locality","Poland","PL","Greater Poland Voivodeship","poznański","Luboń","62","",12.0091
126554523,"5E5FB69A149A4D869D7885B92EF999B7","2019-09-01 00:07:24","2019-09-01 00:07:24","8274213","4","61.227.xxx.xxx",14201,14385,188,"Kaohsiung","Taiwan","TW",22.6333,120.2667,"Chunghwa Mobile","HiNet","1","2","2","Taiwan","TW","Kaohsiung City","KHH","Kaohsiung City",22.617,120.301,2.46122,"Kaohsiung, Gushan District, Kaohsiung City, Taiwan","Kaohsiung","locality","Taiwan","TW","Kaohsiung City","Fengshan District","文華里","806","",3.95654
126554524,"91371517F6E041C18F6247805EBC9021","2019-09-01 00:06:48","2019-09-01 00:07:24","5015904","5","79.107.xxx.xxx",46920,4559,16,"Athens","Greece","GR",37.9778,23.7278,"Cosmote S.A.","WIND HELLAS TELECOMMUNICATIONS SA","1","22","2","Greece","GR","Attica","I","Athens",37.983,23.733,0.481087,"Athens, Greece","Athens","locality","Greece","GR","Attica","Attica","Kentrikos Tomeas Athinon, Athens, Athina","106 81","",0.773373
126554525,"7FA6E6A21DC747E4969D1C0D0EFDD664","2019-09-01 00:07:25","2019-09-01 00:07:25","74514","4","194.230.xxx.xxx",52432,40757,27,"Winterthur","Switzerland","CH",47.5000,8.7500,"Init 7","Sunrise Communications AG","1","22","1","Switzerland","CH","Zurich","ZH","Flurlingen",47.683,8.633,13.7982,"Flurlingen, Switzerland","Flurlingen","locality","Switzerland","CH","Zurich","Andelfingen District","","8247","",22.1814
126554526,"FB83464439E34C4B9EA62AB65D079E9B","2019-09-01 00:07:26","2019-09-01 00:07:26","5666001","4","90.79.xxx.xxx",934491,290907,1,"Paris","France","FR",48.8742,2.3470,"SiriusHD","Orange","1","22","1","France","FR","Île-de-France","IDF","Clichy",48.900,2.300,2.7848,"Clichy, France","Clichy","locality","France","FR","Île-de-France","Hauts-de-Seine","","92110","",4.47671
