test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start,km_between
5263300384,237013127,"Xiaomi/sirius/sirius:9/PKQ1.181121.001/9.8.22:user/release-keys","2019-09-01 00:00:02","106.47.xxx.xxx",8798,19054,34,"Shijiazhuang","CN","CN",38.0428,114.5149,"chinamobile, hebei","China","CN","Tianjin","TJ","Tianjin",39.067,117.101,156.839,"China Telecom HUNAN","1","中国电信","460","11",15,15,"Xiaomi","sirius","qcom","PKQ1.181121.001","Xiaomi","MI 8 SE","sirius","","30542336",1,"Tianjin, Tianjin, China","Tianjin","locality","China","CN","Tianjin","","","","","39.06792","117.10123",1,"39.06792","117.10123",1,261.635
5263300385,263182474,"HUAWEI/SNE-LX1RU/HWSNE:9/HUAWEISNE-LX1/221C10:user/release-keys","2019-09-01 00:00:02","213.87.xxx.xxx",12012,8481,73,"Novy Urengoy","Russian Federation","RU",66.0833,76.6833,"Rostelecom","Russia","RU","Yamalo-Nenets Autonomous Okrug","YAN","Nakhodka",67.981,75.095,138.078,"MTS PJSC","1","MTS RUS","250","1",15,15,"HUAWEI","HWSNE","kirin710","HUAWEISNE-LX1","HUAWEI","SNE-LX1","SNE-LX1RU","","171618101",1,"Nadymsky District, Yamalo-Nenets Autonomous Okrug, Russia","Nadymsky District","administrative_area_level_2","Russia","RU","Yamalo-Nenets Autonomous Okrug","Nadymsky District","","629740","","67.98140","75.09509",1,"67.98140","75.09509",1,244.709
5263300390,182701924,"Sony/F5121/F5121:8.0.0/34.4.A.2.32/1455699507:user/release-keys","2019-09-01 00:00:02","39.10.xxx.xxx",20915,20778,27,"Kaohsiung","Taiwan","TW",22.6333,120.2667,"Taiwan Mobile","Taiwan","TW","Kaohsiung City","KHH","Yanchao",22.772,120.392,12.5297,"LINE Mobile","1","遠傳電信","466","1",15,15,"Sony","F5121","qcom","34.4.A.2.32","Sony","F5121","F5121","","184431126",1,"Kaohsiung City, Taiwan","Kaohsiung City","administrative_area_level_1","Taiwan","TW","Kaohsiung City","","","824","","22.77216","120.39279",1,"22.77216","120.39279",1,17.1185
5263300392,161079705,"samsung/c9ltezh/c9ltechn:8.0.0/R16NW/C9000ZHU1CSC1:user/release-keys","2019-09-01 00:00:02","51.39.xxx.xxx",34367,24717,24,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"Zain KSA","Saudi Arabia","SA","Riyadh Province","01","Riyadh",24.682,46.625,5.78582,"Zain Saudi Arabia","1","ZAIN KSA","420","4",15,15,"samsung","c9ltechn","qcom","R16NW","samsung","SM-C9000","c9ltezh","","55662338",1,"Riyadh Saudi Arabia","Riyadh","locality","Saudi Arabia","SA","Riyadh Province","","","12512","","24.68258","46.62513",1,"24.68258","46.62513",1,0.66738
5263300396,265674600,"htc/htc_tetdugl_00709/htc_tetdugl:9/PKQ1.181030.001/190703:user/release-keys","2019-09-01 00:00:02","27.242.xxx.xxx",32219,8009,18,"Taipei","Taiwan","TW",25.0333,121.5333,"Chief Telecom","Taiwan","TW","Taipei City","TPE","Taipei",25.047,121.531,1.00736,"FarEasTone","1","遠傳電信","466","1",15,15,"htc","htc_tetdugl","qcom","PKQ1.181030.001","HTC","HTC 2Q7A100","htc_tetdugl_00709","","",2,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","104","","25.04780","121.53180",2,"25.04780","121.53180",2,1.06286
5263300400,270113550,"Realme/RMX1901/RMX1901:9/PKQ1.190101.001/1565170999:user/release-keys","2019-09-01 00:00:02","47.29.xxx.xxx",1254,2637,51,"Asansol","India","IN",23.6739,86.9524,"Jio","India","IN","Jharkhand","JH","Ranchi",23.263,85.327,106.927,"Jio","1","Jio 4G","405","856",15,15,"Realme","RMX1901","qcom","PKQ1.190101.001","Realme","RMX1901","RMX1901","","1575729",1,"Tanko, Jharkhand, India","Tanko","locality","India","IN","Jharkhand","Ranchi","","835221","","23.26344","85.32763",1,"23.26344","85.32763",1,168.971
5263300401,262973339,"HUAWEI/EVR-N29/HWEVR:9/HUAWEIEVR-N29/9.1.1.140MC900:user/release-keys","2019-09-01 00:00:02","124.64.xxx.xxx",815287,128405,24,"Shijiazhuang","CN","CN",38.0428,114.5149,"chinamobile, hebei","China","CN","Hebei","HE","Langfang",39.512,116.416,144.402,"China Unicom Beijing","1","中国联通","460","1",24,24,"HUAWEI","HWEVR","kirin980","HUAWEIEVR-N29","HUAWEI","EVR-N29","EVR-N29","","158005259",1,"Langfang, Hebei, China","Langfang","locality","China","CN","Hebei","","","","","39.51257","116.41682",1,"39.51257","116.41682",1,249.608
5263300408,216033154,"HONOR/BND-AL10/HWBND-H:9/HONORBND-AL10/9.1.0.146C675:user/release-keys","2019-09-01 00:00:02","27.59.xxx.xxx",6905,8004,20,"Hyderabad","India","IN",17.3700,78.4800,"Pioneer Elabs Limited.","India","IN","Telangana","TG","Hyderabad",17.422,78.347,9.49998,"BHARTI Airtel","1","Airtel","404","49",15,15,"HONOR","HWBND-H","hi6250","HONORBND-AL10","HUAWEI","BND-AL10","BND-AL10","","231579651",1,"Hyderabad, Telangana, India","Hyderabad","locality","India","IN","Telangana","","","500032","","17.42257","78.34704",1,"17.42257","78.34704",1,0.836842
5263300409,270184423,"xiaomi/wayne/wayne:9/PKQ1.180904.001/V10.3.6.0.PDCCNXM:user/release-keys","2019-09-01 00:00:02","112.97.xxx.xxx",42047,29600,45,"Shenzhen","China","CN",22.5333,114.1333,"China Mobile,Guangdong","China","CN","Guangdong","GD","Shantou",23.272,116.754,174.654,"China Unicom Guangdong province","1","中国移动","460","0",15,15,"xiaomi","wayne","qcom","PKQ1.180904.001","Xiaomi","MI 6X","wayne","","73468833",1,"Shantou, Guangdong, China","Shantou","locality","China","CN","Guangdong","","","","","23.27230","116.75442",1,"23.27230","116.75442",1,225.043
5263300417,179171304,"Android/q200/q200:6.0.1/MHC19J/20180209:user/release-keys","2019-09-01 00:00:03","62.12.xxx.xxx",18801,2138,27,"Paphos","Cyprus","CY",34.7123,32.4887,"Ecotech","Cyprus","CY","Paphos","05","Polis",35.035,32.425,22.6255,"Primetel PLC","1","                ","","",0,0,"MINIX","NEO-U9-H","amlogic","MHC19J","MINIX","NEO-U9-H","q200","","",2,"Poli Crysochous, Cyprus","Poli Crysochous","locality","Cyprus","CY","Paphos","","","","","35.03530","32.42580",2,"35.03530","32.42580",2,36.3717
