test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start,km_between
3423746992,86073336,"2019-09-01 00:06:38","46.211.xxx.xxx",14072,9975,26,"Kiev","Ukraine","UA",50.4501,30.5234,"ISP OmegaTelecom","Ukraine","UA","Kyiv city","30","Kyiv",50.454,30.523,0.318708,12,12,"Kyivstar PJSC","1","KYIVSTAR","UA","255","3","iPhone 6S","12.4",2,"Kiev, Ukraine, 02000","Kiev","locality","Ukraine","UA","Kyiv city","Kyiv City","","02000","","50.45470","30.52380",2,1.92736
3423746993,150947769,"2019-09-01 00:06:38","106.223.xxx.xxx",782,1682,53,"Ghaziabad","India","IN",28.4615,77.0178,"Powernet Communications Pvt. Ltd.","India","IN","Haryana","HR","Gurgaon",28.397,77.073,5.53879,6,6,"BHARTI Airtel","1","AirTel","IN","404","10","iPhone 7","12.4.1",1,"Gurgaon, Haryana 122001, India","Gurgaon","locality","India","IN","Haryana","Gurgaon","","122102","","28.39797","77.07323",1,1.622
3423747002,170150222,"2019-09-01 00:06:39","91.193.xxx.xxx",20476,8094,25,"Moscow","Russian Federation","RU",55.7517,37.6178,"Rostelecom","Russia","RU","Moscow","MOW","Moscow",55.767,37.715,3.94916,6,6,"VimpelCom","1","Beeline","RU","250","99","iPhone XS","12.4.1",1,"Moscow, Russia","Moscow","locality","Russia","RU","Moscow","gorod Moskva","","111020","","55.76733","37.71535",1,0.148525
3423747003,88358824,"2019-09-01 00:06:39","210.10.xxx.xxx",48332,23500,17,"Singapore","Republic of Singapore","SG",1.3000,103.8000,"PT FirstMedia","Singapore","SG","Unknown","??","Singapore",1.338,103.931,9.50012,12,12,"TPG Internet","1","Carrier","SG","525","10","iPad Air","12.4",1,"Singapore, Singapore","Singapore","locality","Singapore","SG","","","","","","1.33852","103.93187",1,6.24967
3423747010,159882546,"2019-09-01 00:06:39","193.140.xxx.xxx",138179,100109,46,"Ankara","Turkey","TR",39.8750,32.8333,"Turksat Kablonet","Turkey","TR","Ankara","06","Ankara",39.870,32.735,5.21773,6,6,"National Academic Network and Information Center","0","Turk Telekom","TR","286","3","iPhone 8","12.4.1",1,"Ankara, Ankara, Turkey","Ankara","locality","Turkey","TR","Ankara","","","06800","","39.87087","32.73516",1,5.35117
3423747014,125666126,"2019-09-01 00:06:39","182.232.xxx.xxx",6032,8215,30,"Bangkok","Thailand","TH",13.7500,100.4833,"NIPA.CLOUD 1st Cloud Thailand","Thailand","TH","Bangkok","10","Latkrabang",13.691,100.751,18.4386,12,12,"AIS Mobile","1","AIS","TH","520","3","iPhone 6S","13.0",1,"Nong Prue, Bang Phli District, Samut Prakan 10540, Thailand","Nong Prue","locality","Thailand","TH","Samut Prakan","Bang Phli District","","10540","2001:44c8:4510:437x:xxxx:xxxx:xxxx:xxxx","13.69159","100.75103",1,28.4933
3423747015,100556020,"2019-09-01 00:06:40","98.200.xxx.xxx",39139,11937,41,"Houston, TX","United States","US",29.7631,-95.3631,"Sprint","United States","US","Texas","TX","Sugar Land",29.650,-95.730,23.3807,12,12,"Comcast Cable","1","Sprint","US","310","120","iPhone 6S Plus","12.3.1",1,"Fort Bend County, TX, USA","Fort Bend County","administrative_area_level_2","United States","US","Texas","Fort Bend County","","77406","","29.65076","-95.73014",1,32.4298
3423747017,97922914,"2019-09-01 00:06:40","223.24.xxx.xxx",11387,25194,23,"Samut Prakarn","Thailand","TH",13.5991,100.5998,"dtac","Thailand","TH","Chon Buri","20","Ban Bueng",13.097,100.963,42.4883,12,12,"True Internet","1","TRUE-H","TH","520","0","iPhone 6","12.4.1",1,"Laem Chabang, Bang Lamung District, Chon Buri, Thailand","Laem Chabang","locality","Thailand","TH","Chon Buri","Si Racha District","","20110","","13.09721","100.96405",1,73.3458
3423747020,174791913,"2019-09-01 00:06:40","5.244.xxx.xxx",30234,16238,18,"Taif","Saudi Arabia","SA",22.9000,41.1367,"Mobily","Saudi Arabia","SA","Makkah Province","02","Jeddah",21.510,39.268,153.432,12,12,"Mobily","1","Mobily","SA","420","3","iPhone 7","12.4",1,"Jeddah Saudi Arabia","Jeddah","locality","Saudi Arabia","SA","Makkah Province","","","22261","","21.51077","39.26882",1,250.231
3423747023,172967533,"2019-09-01 00:06:40","93.23.xxx.xxx",15405,30585,40,"Paris","France","FR",48.8742,2.3470,"SFR SAS","France","FR","Auvergne-Rhone-Alpes","ARA","Aubiere",45.753,3.115,218.873,12,12,"SFR","1","SFR","FR","208","10","iPhone SE","12.4.1",1,"Aubière, France","Aubière","locality","France","FR","Auvergne","Puy-de-Dome","","63170","","45.75318","3.11397",1,352.203
3423747025,139229129,"2019-09-01 00:06:40","39.12.xxx.xxx",60161,16479,27,"Taipei","Taiwan","TW",25.0333,121.5333,"Taipeinet","Taiwan","TW","Taipei City","TPE","Taipei",25.196,121.438,12.7254,12,12,"FarEasTone","1","遠傳電信","TW","466","1","iPhone 8 Plus","12.4.1",1,"Taipei, Taipei City, Taiwan","Taipei","locality","Taiwan","TW","Taipei City","","","251","","25.19625","121.43899",1,1.06286
3423747054,174645530,"2019-09-01 00:06:42","223.111.xxx.xxx",33288,26322,131,"Shijiazhuang","CN","CN",38.0428,114.5149,"chinamobile, hebei","China","CN","Henan","HA","Jiaozuo",35.190,113.264,209.151,12,12,"China Mobile Guangdong","1","Carrier","CN","460","4","iPhone 6S","12.4",1,"Jiaozuo, Henan, China","Jiaozuo","locality","China","CN","Henan","","","","","35.19045","113.26439",1,331.999
3423747067,173974735,"2019-09-01 00:06:43","157.32.xxx.xxx",4878,1248,45,"Ahemdabad","India","IN",23.0300,72.5800,"ISHAN Netsol Pvt Ltd","India","IN","Gujarat","GJ","Ahmedabad",23.005,72.562,2.02076,12,12,"Jio","1","Jio","IN","405","857","iPhone X","12.4",1,"Ahmedabad, Gujarat, India","Ahmedabad","locality","India","IN","Gujarat","Ahmedabad","","380007","","23.00541","72.56287",1,3.77318
3423747068,154665183,"2019-09-01 00:06:43","183.171.xxx.xxx",10670,3999,34,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"InNET","Malaysia","MY","Federal Territory of Kuala Lumpur","14","Kuala Lumpur",3.136,101.717,2.01755,12,12,"Celcom Axiata Berhad","1","Celcom","MY","502","19","iPhone XS","12.4.1",2,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Kuala Lumpur","locality","Malaysia","MY","Federal Territory of Kuala Lumpur","","","55100","","3.13660","101.71720",2,3.69529
3423747080,172882978,"2019-09-01 00:06:44","151.255.xxx.xxx",18913,32190,55,"Yanbu","Saudi Arabia","SA",24.0232,38.1900,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Al Madinah Province","03","Badr Hunayn",23.778,38.788,41.4246,12,12,"SaudiNet","1","STC","SA","420","1","iPhone 7","12.3.1",1,"Badr Saudi Arabia","Badr","locality","Saudi Arabia","SA","Al Madinah Province","","","46354","","23.77886","38.78805",1,66.6374
3423747082,174186060,"2019-09-01 00:06:44","223.24.xxx.xxx",44158,22422,26,"Samut Prakarn","Thailand","TH",13.5991,100.5998,"dtac","Thailand","TH","Samut Prakan","11","Ban Bang Pu Mai",13.540,100.619,4.27613,12,12,"True Internet","1","TRUE-H","TH","520","0","iPhone X","12.4",1,"Thai Ban, Mueang Samut Prakan District, Samut Prakan, Thailand","Thai Ban","locality","Thailand","TH","Samut Prakan","Mueang Samut Prakan District","","10280","","13.54026","100.61931",1,11.3044
3423747083,151842618,"2019-09-01 00:06:44","37.76.xxx.xxx",99849,12341,27,"Nyiregyhaza","Hungary","HU",47.9531,21.7271,"Giganet Internet Kft","Hungary","HU","Borsod-Abaúj-Zemplén","BZ","Kazincbarcika",48.246,20.618,55.0626,12,12,"Magyar Telekom","1","Telekom HU","HU","216","30","iPhone 8 Plus","12.4.1",1,"Kazincbarcika, 3700 Hungary","Kazincbarcika","locality","Hungary","HU","Borsod-Abaúj-Zemplén","Kazincbarcika Subregion","","3700","","48.24606","20.61877",1,87.6748
3423747085,166940718,"2019-09-01 00:06:44","151.255.xxx.xxx",81324,4797,27,"Jeddah","Saudi Arabia","SA",21.2854,39.2376,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Makkah Province","02","Khulays",22.150,39.337,60.165,5,5,"SaudiNet","1","STC","SA","420","1","iPhone XS Max","12.4.1",1,"Khulais Saudi Arabia","Khulais","locality","Saudi Arabia","SA","Makkah Province","","","25525","","22.15118","39.33724",1,97.1263
3423747090,170269516,"2019-09-01 00:06:44","223.104.xxx.xxx",58220,3029,49,"Shanghai","China","CN",31.2000,121.5000,"China Unicom","China","CN","Zhejiang","ZJ","Wenzhou",27.998,120.666,227.061,12,12,"China Mobile Guangdong","1","中国移动","CN","460","2","iPhone XR","12.4.1",2,"Wenzhou, Zhejiang, China","Wenzhou","locality","China","CN","Zhejiang","","","","","30.29400","120.16190",2,363.008
3423747097,135091616,"2019-09-01 00:06:45","5.90.xxx.xxx",36185,20958,31,"Milan","Italy","IT",45.4640,9.1916,"Vodafone IT","Italy","IT","Lombardy","25","Milan",45.470,9.188,0.481499,12,12,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone X","12.4.1",2,"Milan, Italy","Milan","locality","Italy","IT","Lombardy","Metropolitan City of Milan","Milan","20121","","45.47070","9.18890",2,0.167081
3423747099,163902021,"2019-09-01 00:06:45","46.114.xxx.xxx",12803,3243,55,"Frankfurt","Germany","DE",50.1109,8.6821,"creoline GmbH","Germany","DE","Hesse","HE","Trebur",49.926,8.407,17.6645,6,6,"O2 Deutschland","1","o2-de","DE","262","7","iPhone 7 Plus","12.4.1",2,"Trebur, Germany","Trebur","locality","Germany","DE","Hesse","Darmstadt","Groß-Gerau","65468","","49.92640","8.40730",2,27.5839
3423747112,158906597,"2019-09-01 00:06:46","171.253.xxx.xxx",45257,27939,19,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"NetNam","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.814,106.643,4.70557,12,12,"Viettel Group","1","Viettel","VN","452","4","iPhone 6S","11.2.6",2,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","","","","10.81420","106.64380",2,0
3423747113,174791920,"2019-09-01 00:06:46","1.128.xxx.xxx",12872,28139,26,"Brisbane","Australia","AU",-27.4728,153.0278,"Internode","Australia","AU","Queensland","QLD","Tarragindi",-27.525,153.050,3.92829,12,12,"Telstra Internet","1","Telstra","AU","505","1","iPhone XS","12.3.1",2,"Tarragindi QLD 4121, Australia","Tarragindi","locality","Australia","AU","Queensland","Brisbane City","","4121","","-27.52590","153.05050",2,6.7492
3423747122,103718182,"2019-09-01 00:06:46","174.211.xxx.xxx",29653,23095,31,"Azusa, CA","United States","US",34.1336,-117.9076,"Verizon","United States","US","California","CA","Los Angeles",33.946,-118.381,30.1175,12,12,"VERIZON WIRELESS","1","Verizon","US","311","480","iPhone 7 Plus","12.4",1,"Los Angeles, CA, USA","Los Angeles","locality","United States","US","California","Los Angeles County","","90045","2600:1012:b06f:2e9x:xxxx:xxxx:xxxx:xxxx","33.94630","-118.38195",1,50.5684
3423747124,171004176,"2019-09-01 00:06:46","24.237.xxx.xxx",29754,4682,33,"Anchorage, AK","United States","US",61.2183,-149.8991,"Alaska Communications","United States","US","Alaska","AK","Anchorage",61.203,-149.759,4.76273,12,12,"GCI Communications","1","GCI","US","311","370","iPhone 7 Plus","12.4",2,"Anchorage, AK, USA","Anchorage","locality","United States","US","Alaska","Anchorage","","99504","","61.20340","-149.75950",2,4.29172
3423747125,131580734,"2019-09-01 00:06:47","5.90.xxx.xxx",110201,25263,31,"Venice","Italy","IT",45.4375,12.3358,"4ISP srl","Italy","IT","Veneto","34","Venice",45.479,12.215,6.52746,12,12,"Vodafone Italia","1","Vodafone IT","IT","222","10","iPhone X","12.4",1,"Venice, Italy","Venice","locality","Italy","IT","Veneto","Metropolitan City of Venice","Venice","30175","","45.47920","12.21511",1,0.902662
