test_id,test_date,client_ip_id,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,user_agent,isp_name,is_isp,connection_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,km_between
8551477263,"2019-09-01 00:00:11","1741441208","119.123.xxx.xxx",3729,138,14,"Shenzhen","China","CN",22.5333,114.1333,"China Mobile,Guangdong","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36","China Telecom Guangdong","1","2","China","CN","Guangdong","GD","Yulu",22.719,113.888,20.2455,"Shenzhen, Guangdong, China","Shenzhen","locality","China","CN","Guangdong","","","",32.5457
8551477265,"2019-09-01 00:00:11","2077656286","103.115.xxx.xxx",9773,9234,6,"Dhaka","Bangladesh","BD",23.8103,90.4125,"Bangla Trac Communications Ltd.","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Asia Pasific Communication Limited","1","2","Bangladesh","BD","Rajshahi Division","E","Rajshahi",24.374,88.601,120.843,"Musrail, Bangladesh","Musrail","administrative_area_level_5","Bangladesh","BD","Rajshahi Division","Rajshahi","Musrail","",194.261
8551477266,"2019-09-01 00:00:11","314912426","5.165.xxx.xxx",41894,78410,2,"Bryansk","Russian Federation","RU",53.2667,34.4000,"SectorTelecom.ru","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","JSC ER-Telecom Holding","1","2","Russia","RU","Bryansk Oblast","BRY","Bryansk",53.242,34.351,2.63957,"Bryansk, Bryansk Oblast, Russia","Bryansk","locality","Russia","RU","Bryansk Oblast","gorod Bryansk","","241006",4.24324
8551477267,"2019-09-01 00:00:11","242575511","79.191.xxx.xxx",358387,115808,9,"Gdansk","Poland","PL",54.3500,18.6333,"Orange Polska S.A.","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36","Orange Swiatlowod","1","2","Poland","PL","Lublin Voivodeship","LU","Lublin",51.250,22.566,270.168,"20, Poland","Lublin","locality","Poland","PL","Lublin Voivodeship","Lublin County","Lublin Governorate","20",434.309
8551477268,"2019-09-01 00:00:11","272364949","178.43.xxx.xxx",393031,112489,10,"Szczecin","Poland","PL",53.4333,14.5333,"Orange Polska S.A.","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36","Orange Swiatlowod","1","2","Poland","PL","Łódź Voivodeship","LD","Tuszyn",51.618,19.534,244.97,"95, Poland","Łódź Voivodeship","administrative_area_level_1","Poland","PL","Łódź Voivodeship","","","95",393.803
8551477269,"2019-09-01 00:00:11","680828159","139.228.xxx.xxx",34139,4950,11,"Jakarta","Indonesia","ID",-6.1745,106.8227,"PT Indosat Tbk","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","FirstMedia","1","2","Indonesia","ID","West Java","JB","Jatimakmur",-6.280,106.928,10.3093,"Bekasi, Bekasi City, West Java, Indonesia","Bekasi","locality","Indonesia","ID","West Java","Bekasi City","","17413",16.5727
8551477272,"2019-09-01 00:00:11","12450799","67.161.xxx.xxx",941847,39837,11,"San Francisco, CA","United States","US",37.7749,-122.4194,"Comcast","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763","Comcast Cable","1","2","United States","US","California","CA","Napa",38.297,-122.285,36.8501,"Napa, CA, USA","Napa","locality","United States","US","California","Napa County","","94558",59.2385
8551477273,"2019-09-01 00:00:11","363109302","106.51.xxx.xxx",63891,27165,7,"Bangalore","India","IN",12.9833,77.5833,"ACT Fibernet","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","ACT Fibernet","1","2","India","IN","Tamil Nadu","TN","Bellandur",12.925,77.676,7.44689,"Bengaluru, Karnataka 560001, India","Bengaluru","locality","India","IN","Karnataka","Bangalore Urban","","560103",11.9713
8551477274,"2019-09-01 00:00:11","208552213","120.29.xxx.xxx",44000,38427,2,"Pasig City","Philippines","PH",14.5823,121.0851,"Converge ICT Solutions Inc.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Comclark","0","2","Philippines","PH","Metro Manila","00","Dasmarinas",14.537,121.026,4.99643,"Pasay, 1300 Metro Manila, Philippines","Pasay","locality","Philippines","PH","Metro Manila","","","",8.03202
8551477275,"2019-09-01 00:00:11","1506360030","213.109.xxx.xxx",16389,15566,4,"Almaty","Kazakhstan","KZ",43.2500,76.9167,"Alma-TV","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36","2Day Telecom LLP","1","2","Kazakhstan","KZ","Almaty","ALA","Almaty",43.250,76.950,1.67744,"Almaty, Kazakhstan","Almaty","locality","Kazakhstan","KZ","Almaty Region","Karasay District","","",2.69657
8551477277,"2019-09-01 00:00:11","366610018","151.45.xxx.xxx",3868,321,154,"Matera","Italy","IT",40.6663,16.6044,"Telecom Italia S.p.A.","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Wind Tre","1","2","Italy","IT","Apulia","75","Putignano",40.850,17.116,29.6972,"Putignano, Metropolitan City of Bari, Italy","Putignano","administrative_area_level_3","Italy","IT","Apulia","Metropolitan City of Bari","Putignano","70017",47.7398
8551477278,"2019-09-01 00:00:12","157237994","95.10.xxx.xxx",3591,495,228,"Bursa","Turkey","TR",40.1833,29.0667,"Airfiber Internet","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","Turk Telekom","1","2","Turkey","TR","Bursa","16","Gursu",40.243,29.188,7.68829,"Vakıf, 16290 Yıldırım/Bursa, Turkey","Vakıf Mahallesi","administrative_area_level_4","Turkey","TR","Bursa","Yıldırım","Vakıf Mahallesi","16290",12.3593
8551477281,"2019-09-01 00:00:12","2240859693","183.228.xxx.xxx",77305,14402,5,"Chongqing","CN","CN",29.5583,106.5667,"Chongqing Mobile Company","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) enfi-cloud-desktop/2.0.3 Chrome/66.0.3359.181 Electron/3.1.8 Safari/537.36","China Mobile Guangdong","1","4","China","CN","Chongqing","CQ","Rongchang Xian",29.403,105.587,59.939,"Chongqing, Chongqing, China","Chongqing","locality","China","CN","Chongqing","","","",96.3551
8551477284,"2019-09-01 00:00:12","313026213","212.5.xxx.xxx",59378,18292,23,"Sofia","BG","BG",42.6544,23.3649,"Nilsat Ltd","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36","Vivacom","1","2","Bulgaria","BG","Sofia-city","22","Sofia",42.683,23.316,3.1632,"Sofia, Bulgaria","Sofia","locality","Bulgaria","BG","Sofia-city","Sofia","","1463",5.08501
8551477285,"2019-09-01 00:00:12","1533663574","184.22.xxx.xxx",121556,94332,1,"Chiang Mai","Thailand","TH",18.7061,98.9817,"AIS","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","AIS Fibre","1","2","Thailand","TH","Chiang Mai","50","Doi Saket",18.870,99.136,15.2429,"Choeng Doi, Doi Saket District, Chiang Mai, Thailand","Choeng Doi","locality","Thailand","TH","Chiang Mai","Doi Saket District","","50220",24.5038
8551477286,"2019-09-01 00:00:12","1434308016","184.22.xxx.xxx",84640,25869,13,"Pathum Wan","Thailand","TH",13.7402,100.5352,"AIS","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36","AIS Fibre","1","2","Thailand","TH","Bangkok","10","Lat Phrao",13.803,100.607,6.53922,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10240",10.5121
8551477287,"2019-09-01 00:00:12","1966165574","178.17.xxx.xxx",51720,49226,5,"Kursk","Russian Federation","RU",51.7333,36.1833,"MTS","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.37 RunBrowser/64.0.3282.37 MRCHROME SOC Safari/537.36","MTS PJSC","1","4","Russia","RU","Kursk Oblast","KRS","Ryshkovo",51.705,36.353,7.55746,"Kursky District, Kursk Oblast, Russia","Kursky District","administrative_area_level_2","Russia","RU","Kursk Oblast","Kursky District","","305531",12.149
8551477288,"2019-09-01 00:00:12","1457238741","111.184.xxx.xxx",59407,11460,10,"Taipei","Taiwan","TW",25.0333,121.5333,"Taiwan Fixed Network","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36","Hoshin Multimedia Center","1","2","Taiwan","TW","Keelung City","KEE","Qidu",25.097,121.713,12.1133,"206, Taiwan, 基隆市七堵區八德里","八德里","administrative_area_level_4","Taiwan","TW","Taiwan Province","Keelung City","Qidu District, 八德里","206",19.4728
